,词频,发音,词性,原型
へこん,5,ヘコン,動詞,へこむ
じゃま,5,ジャマ,名詞,じゃま
あばく,5,アバク,動詞,あばく
えれ,5,エレ,動詞,える
剥ける,5,ムケル,動詞,剥ける
引きずら,5,ヒキズラ,動詞,引きずる
すま,5,スマ,動詞,すむ
くくる,5,ククル,動詞,くくる
存ぜ,5,ゾンゼ,動詞,存ずる
ワイパー,5,ワイパー,名詞,ワイパー
合わせれ,5,アワセレ,動詞,合わせる
じらし,5,ジラシ,動詞,じらす
ただしい,5,タダシイ,形容詞,ただしい
ゴマ,5,ゴマ,名詞,ゴマ
しかめっ面,5,シカメッツラ,名詞,しかめっ面
おろか,5,オロカ,名詞,おろか
すすむ,5,ススム,動詞,すすむ
明く,5,アカク,形容詞,明い
ピザ,5,ピザ,名詞,ピザ
くるまっ,5,クルマッ,動詞,くるまる
さり,5,サリ,動詞,さる
領収,5,リョウシュウ,名詞,領収
惜しま,5,オシマ,動詞,惜しむ
がんばれる,5,ガンバレル,動詞,がんばれる
鳴り出し,5,ナリダシ,動詞,鳴り出す
フェーズ,5,フェーズ,名詞,フェーズ
ハイスクール,5,ハイスクール,名詞,ハイスクール
まとえ,5,マトエ,動詞,まとう
すべっ,5,スベッ,動詞,すべる
忍者,5,ニンジャ,名詞,忍者
逢瀬,5,オウセ,名詞,逢瀬
抜けれ,5,ヌケレ,動詞,抜ける
邁進,5,マイシン,名詞,邁進
ワイ,5,ワイ,名詞,ワイ
治せ,5,ナオセ,動詞,治せる
ちまお,5,チマオ,動詞,ちまう
プロブレム,5,プロブレム,名詞,プロブレム
すすき,5,ススキ,名詞,すすき
さそ,5,サソ,動詞,さす
ぽろり,5,ポロリ,副詞,ぽろり
吐き出さ,5,ハキダサ,動詞,吐き出す
朗読,5,ロウドク,名詞,朗読
硬,5,カタ,形容詞,硬い
人陰,5,ヒトカゲ,名詞,人陰
軈て,5,ヤガテ,副詞,軈て
科,5,カ,名詞,科
襖,5,フスマ,名詞,襖
兼ね,5,カネ,動詞,兼ねる
さびれ,5,サビレ,動詞,さびれる
連れ去り,5,ツレサリ,動詞,連れ去る
遂げる,5,トゲル,動詞,遂げる
赤ん坊,5,アカンボウ,名詞,赤ん坊
揚げ足,5,アゲアシ,名詞,揚げ足
首都,5,シュト,名詞,首都
巣食っ,5,スクッ,動詞,巣食う
した,5,シタ,名詞,した
さよう,5,サヨウ,副詞,さよう
雄々しく,5,オオシク,形容詞,雄々しい
愚図,5,グズ,名詞,愚図
運動,5,ウンドウ,名詞,運動
迎合,5,ゲイゴウ,名詞,迎合
パーカー,5,パーカー,名詞,パーカー
獲,5,エ,動詞,獲る
当時,5,トウジ,名詞,当時
手合わせ,5,テアワセ,名詞,手合わせ
沸き,5,ワキ,動詞,沸く
無実,5,ムジツ,名詞,無実
楔,5,クサビ,名詞,楔
考えれ,5,カンガエレ,動詞,考える
銃口,5,ジュウコウ,名詞,銃口
相乗,5,ソウジョウ,名詞,相乗
うかん,5,ウカン,動詞,うかぶ
保護,5,ホゴ,名詞,保護
走れる,5,ハシレル,動詞,走れる
拡がる,5,ヒロガル,動詞,拡がる
愛し子,5,イトシゴ,名詞,愛し子
足かせ,5,アシカセ,名詞,足かせ
きらら,5,キララ,名詞,きらら
ジプシー,5,ジプシー,名詞,ジプシー
わめき,5,ワメキ,動詞,わめく
起床,5,キショウ,名詞,起床
散らさ,5,チラサ,動詞,散らす
お祭り騒ぎ,5,オマツリサワギ,名詞,お祭り騒ぎ
キャンセル,5,キャンセル,名詞,キャンセル
消え去る,5,キエサル,動詞,消え去る
標準,5,ヒョウジュン,名詞,標準
冷やか,5,ヒヤヤカ,名詞,冷やか
オフィス,5,オフィス,名詞,オフィス
拉げ,5,ヒシゲ,動詞,拉げる
ぶせ,5,ブセ,動詞,ぶす
草むら,5,クサムラ,名詞,草むら
比類,5,ヒルイ,名詞,比類
いがみ合っ,5,イガミアッ,動詞,いがみ合う
澱,5,オリ,名詞,澱
いっせい,5,イッセイ,副詞,いっせい
請う,5,コウ,動詞,請う
水鏡,5,ミズカガミ,名詞,水鏡
砂丘,5,サキュウ,名詞,砂丘
蚊帳,5,カヤ,名詞,蚊帳
立たさ,5,タタサ,動詞,立たす
パトリオット,5,パトリオット,名詞,パトリオット
かげり,5,カゲリ,動詞,かげる
足並み,5,アシナミ,名詞,足並み
切断,5,セツダン,名詞,切断
観戦,5,カンセン,名詞,観戦
絶やす,5,タヤス,動詞,絶やす
紛いもの,5,マガイモノ,名詞,紛いもの
スポット,5,スポット,名詞,スポット
追い越せる,5,オイコセル,動詞,追い越せる
情操,5,ジョウソウ,名詞,情操
いらい,5,イライ,副詞,いらい
勇気づけ,5,ユウキヅケ,動詞,勇気づける
空しい,5,ムナシイ,形容詞,空しい
飼い慣らせ,5,カイナラセ,動詞,飼い慣らす
フュージョン,5,フュージョン,名詞,フュージョン
クリスマスツリー,5,クリスマスツリー,名詞,クリスマスツリー
発条,5,ハツジョウ,名詞,発条
重視,5,ジュウシ,名詞,重視
満載,5,マンサイ,名詞,満載
髪形,5,カミガタ,名詞,髪形
煮込み,5,ニコミ,名詞,煮込み
騎士,5,キシ,名詞,騎士
まぐれ,5,マグレ,名詞,まぐれ
しんぼう,5,シンボウ,名詞,しんぼう
復讐,5,フクシュウ,名詞,復讐
熱風,5,ネップウ,名詞,熱風
打ち寄せる,5,ウチヨセル,動詞,打ち寄せる
寸,5,スン,名詞,寸
弛ま,5,タルマ,動詞,弛む
てゆーか,5,テユーカ,接続詞,てゆーか
目尻,5,メジリ,名詞,目尻
迂ん,5,マガン,動詞,迂る
焦ん,5,アセン,動詞,焦る
協力,5,キョウリョク,名詞,協力
思い止まら,5,オモイトドマラ,動詞,思い止まる
ケーブル,5,ケーブル,名詞,ケーブル
大福,5,ダイフク,名詞,大福
グロス,5,グロス,名詞,グロス
パラボラ,5,パラボラ,名詞,パラボラ
探査,5,タンサ,名詞,探査
なびい,5,ナビイ,動詞,なびく
打ち上げ花火,5,ウチアゲハナビ,名詞,打ち上げ花火
光明,5,コウミョウ,名詞,光明
融,5,トオル,名詞,融
きたん,5,キタン,名詞,きたん
バイブル,5,バイブル,名詞,バイブル
鬼ごっこ,5,オニゴッコ,名詞,鬼ごっこ
忌々しい,5,イマイマシイ,形容詞,忌々しい
あがれ,5,アガレ,動詞,あがれる
さあー,5,サアー,感動詞,さあー
こなれ,5,コナレ,動詞,こなれる
唾液,5,ダエキ,名詞,唾液
止めよ,5,トメヨ,動詞,止める
斬る,5,キル,動詞,斬る
飾りつけ,5,カザリツケ,動詞,飾りつける
味わえる,5,アジワエル,動詞,味わえる
災厄,5,サイヤク,名詞,災厄
単に,5,タンニ,副詞,単に
ビン,5,ビン,名詞,ビン
ドキッと,5,ドキット,副詞,ドキッと
ついて行く,5,ツイテイク,動詞,ついて行く
還れ,5,カエレ,動詞,還る
蒼白き,5,アオジロキ,形容詞,蒼白い
しけ,5,シケ,名詞,しけ
ハンディ,5,ハンディ,名詞,ハンディ
手料理,5,テリョウリ,名詞,手料理
慕情,5,ボジョウ,名詞,慕情
神田,5,カンダ,名詞,神田
体現,5,タイゲン,名詞,体現
万物,5,バンブツ,名詞,万物
はこぶ,5,ハコブ,動詞,はこぶ
強風,5,キョウフウ,名詞,強風
愛しかっ,5,イトシカッ,形容詞,愛しい
わかれ道,5,ワカレミチ,名詞,わかれ道
響かせろ,5,ヒビカセロ,動詞,響かせる
ポツン,5,ポツン,副詞,ポツン
バックミラー,5,バックミラー,名詞,バックミラー
げんか,5,ゲンカ,名詞,げんか
今時,5,イマドキ,名詞,今時
防波堤,5,ボウハテイ,名詞,防波堤
土手,5,ドテ,名詞,土手
造り,5,ツクリ,動詞,造る
かぶり,5,カブリ,動詞,かぶる
お知らせ,5,オシラセ,名詞,お知らせ
がかっ,5,ガカッ,動詞,がかる
不動,5,フドウ,名詞,不動
おまわりさん,5,オマワリサン,名詞,おまわりさん
菖蒲,5,ショウブ,名詞,菖蒲
考えよ,5,カンガエヨ,動詞,考える
ハロゲン,5,ハロゲン,名詞,ハロゲン
諸共,5,モロトモ,名詞,諸共
苦行,5,クギョウ,名詞,苦行
尼,5,アマ,名詞,尼
摩,5,マ,名詞,摩
共同,5,キョウドウ,名詞,共同
可哀相,5,カワイソウ,名詞,可哀相
振り落とさ,5,フリオトサ,動詞,振り落とす
落胆,5,ラクタン,名詞,落胆
ルーツ,5,ルーツ,名詞,ルーツ
すみれ,5,スミレ,名詞,すみれ
ジャンジャン,5,ジャンジャン,副詞,ジャンジャン
焦らし,5,ジラシ,動詞,焦らす
籠っ,5,コモッ,動詞,籠る
刻印,5,コクイン,名詞,刻印
泊,5,ハク,名詞,泊
ポッカリ,5,ポッカリ,副詞,ポッカリ
パスワード,5,パスワード,名詞,パスワード
副作用,5,フクサヨウ,名詞,副作用
盗人,5,ヌスビト,名詞,盗人
磨け,5,ミガケ,動詞,磨く
みこん,5,ミコン,動詞,みこむ
ユキ,5,ユキ,名詞,ユキ
セーラー,5,セーラー,名詞,セーラー
目先,5,メサキ,名詞,目先
母親,5,ハハオヤ,名詞,母親
もろ,5,モロ,名詞,もろ
笠,5,カサ,名詞,笠
別世界,5,ベッセカイ,名詞,別世界
水温,5,スイオン,名詞,水温
祖父,5,ソフ,名詞,祖父
畢竟,5,ヒッキョウ,副詞,畢竟
安眠,5,アンミン,名詞,安眠
ええい,5,エエイ,感動詞,ええい
ワンダフル,5,ワンダフル,名詞,ワンダフル
ながれる,5,ナガレル,動詞,ながれる
やすかっ,5,ヤスカッ,形容詞,やすい
添い,5,ソイ,動詞,添う
いやし,5,イヤシ,動詞,いやす
めまぐるしい,5,メマグルシイ,形容詞,めまぐるしい
鹿,5,シカ,名詞,鹿
からみつく,5,カラミツク,動詞,からみつく
ねつ,5,ネツ,名詞,ねつ
ゆびき,5,ユビキ,動詞,ゆびく
ビロード,5,ビロード,名詞,ビロード
がんばれ,5,ガンバレ,動詞,がんばる
入り江,5,イリエ,名詞,入り江
分身,5,ブンシン,名詞,分身
ジャブ,5,ジャブ,名詞,ジャブ
帽,5,ボウ,名詞,帽
しつこく,5,シツコク,形容詞,しつこい
色めく,5,イロメク,動詞,色めく
倉庫,5,ソウコ,名詞,倉庫
あざみ,5,アザミ,名詞,あざみ
竜巻,5,タツマキ,名詞,竜巻
天上,5,テンジョウ,名詞,天上
変わり目,5,カワリメ,名詞,変わり目
かけぬける,5,カケヌケル,動詞,かけぬける
擦,5,コス,動詞,擦る
苔,5,コケ,名詞,苔
胡桃,5,クルミ,名詞,胡桃
フルスピード,5,フルスピード,名詞,フルスピード
しかり,5,シカリ,動詞,しかる
奪い取る,5,ウバイトル,動詞,奪い取る
討ち取り,5,ウチトリ,動詞,討ち取る
一節,5,イッセツ,名詞,一節
架け橋,5,カケハシ,名詞,架け橋
影絵,5,カゲエ,名詞,影絵
伊,5,イ,名詞,伊
京都,5,キョウト,名詞,京都
夢見よ,5,ユメミヨ,動詞,夢見る
のぞき,5,ノゾキ,動詞,のぞく
湿る,5,シメル,動詞,湿る
ほほ笑む,5,ホホエム,動詞,ほほ笑む
もどら,5,モドラ,動詞,もどる
柔軟,5,ジュウナン,名詞,柔軟
極まっ,5,キワマッ,動詞,極まる
人間らしく,5,ニンゲンラシク,形容詞,人間らしい
内田,5,ウチダ,名詞,内田
尽し,5,ツクシ,動詞,尽す
先人,5,センジン,名詞,先人
読も,5,ヨモ,動詞,読む
落し物,5,オトシモノ,名詞,落し物
高ぶる,5,タカブル,動詞,高ぶる
感電,5,カンデン,名詞,感電
アワ,5,アワ,名詞,アワ
食え,5,クエ,動詞,食える
悲哀,5,ヒアイ,名詞,悲哀
震わし,5,フルワシ,動詞,震わす
フランス,5,フランス,名詞,フランス
受け取り,5,ウケトリ,名詞,受け取り
儲け,5,モウケ,名詞,儲け
大陸,5,タイリク,名詞,大陸
かすめる,5,カスメル,動詞,かすめる
ぬけれ,5,ヌケレ,動詞,ぬける
ろくな,5,ロクナ,連体詞,ろくな
街並み,5,マチナミ,名詞,街並み
蘇ら,5,ヨミガエラ,動詞,蘇る
むずか,5,ムズカ,動詞,むずかる
日月,5,ジツゲツ,名詞,日月
型破り,5,カタヤブリ,名詞,型破り
あげく,5,アゲク,名詞,あげく
大盛り,5,オオモリ,名詞,大盛り
かっぱ,5,カッパ,名詞,かっぱ
北京,5,ペキン,名詞,北京
フカ,5,フカ,名詞,フカ
切り売り,5,キリウリ,名詞,切り売り
ざまあみろ,5,ザマアミロ,感動詞,ざまあみろ
天城,5,アマギ,名詞,天城
境,5,サカイ,名詞,境
津軽海峡,5,ツガルカイキョウ,名詞,津軽海峡
怖くっ,5,コワクッ,形容詞,怖い
うつむか,5,ウツムカ,動詞,うつむく
巡れ,5,メグレ,動詞,巡る
投票,5,トウヒョウ,名詞,投票
上出来,5,ジョウデキ,名詞,上出来
捲ら,5,メクラ,動詞,捲る
間に合っ,5,マニアッ,動詞,間に合う
アテ,5,アテ,名詞,アテ
減ら,5,ヘラ,動詞,減る
自ずと,5,オノズト,副詞,自ずと
おっしゃる,5,オッシャル,動詞,おっしゃる
傷ま,5,イタマ,動詞,傷む
分際,5,ブンザイ,名詞,分際
持論,5,ジロン,名詞,持論
沁みる,5,シミル,動詞,沁みる
磨か,5,ミガカ,動詞,磨く
しんじつ,5,シンジツ,名詞,しんじつ
凝らせ,5,コラセ,動詞,凝らす
震う,5,フルウ,動詞,震う
脱がし,5,ヌガシ,動詞,脱がす
雄叫び,5,オタケビ,名詞,雄叫び
頂い,5,イタダイ,動詞,頂く
ボストンバッグ,5,ボストンバッグ,名詞,ボストンバッグ
せわしい,5,セワシイ,形容詞,せわしい
しゃがん,5,シャガン,動詞,しゃがむ
詠唱,5,エイショウ,名詞,詠唱
接待,5,セッタイ,名詞,接待
握りつぶし,5,ニギリツブシ,動詞,握りつぶす
乗り切れる,5,ノリキレル,動詞,乗り切れる
押し込め,5,オシコメ,動詞,押し込める
のばす,5,ノバス,動詞,のばす
新生,5,シンセイ,名詞,新生
果ては,5,ハテハ,副詞,果ては
ぶっつけ,5,ブッツケ,名詞,ぶっつけ
焼き払え,5,ヤキハラエ,動詞,焼き払う
霞め,5,カスメ,動詞,霞む
月見,5,ツキミ,名詞,月見
房,5,ボウ,名詞,房
リンチ,5,リンチ,名詞,リンチ
イニシャル,5,イニシャル,名詞,イニシャル
いむ,5,イム,動詞,いむ
しょっちゅう,5,ショッチュウ,副詞,しょっちゅう
浮雲,5,フウン,名詞,浮雲
間奏,5,カンソウ,名詞,間奏
録音,5,ロクオン,名詞,録音
昼前,5,ヒルマエ,名詞,昼前
剛,5,ツヨシ,名詞,剛
見送,5,ミオク,動詞,見送る
気高,5,ケダカ,形容詞,気高い
立ち往生,5,タチオウジョウ,名詞,立ち往生
織り,5,オリ,動詞,織る
竹林,5,チクリン,名詞,竹林
くすぐり,5,クスグリ,動詞,くすぐる
大気,5,タイキ,名詞,大気
かまた,5,カマタ,名詞,かまた
綿毛,5,ワタゲ,名詞,綿毛
身なり,5,ミナリ,名詞,身なり
たたえ,5,タタエ,動詞,たたえる
店員,5,テンイン,名詞,店員
みおく,5,ミオク,動詞,みおくる
まるめ,5,マルメ,動詞,まるめる
そよそよ,5,ソヨソヨ,副詞,そよそよ
メーター,5,メーター,名詞,メーター
朧月,5,オボロヅキ,名詞,朧月
頑張ろ,5,ガンバロ,動詞,頑張る
張り巡らさ,5,ハリメグラサ,動詞,張り巡らす
吐瀉,5,トシャ,名詞,吐瀉
順に,5,ジュンニ,副詞,順に
すったもんだ,5,スッタモンダ,副詞,すったもんだ
葵,5,マモル,名詞,葵
電光石火,5,デンコウセッカ,名詞,電光石火
大物,5,オオモノ,名詞,大物
妬か,5,ヤカ,動詞,妬く
勝ち取る,5,カチトル,動詞,勝ち取る
あかね,5,アカネ,名詞,あかね
貸し借り,5,カシカリ,名詞,貸し借り
とびたつ,5,トビタツ,動詞,とびたつ
ふさ,5,フサ,名詞,ふさ
触覚,5,ショッカク,名詞,触覚
うずい,5,ウズイ,動詞,うずく
彼等,5,カレラ,名詞,彼等
定まら,5,サダマラ,動詞,定まる
礎,5,イシズエ,名詞,礎
管理,5,カンリ,名詞,管理
愚民,5,グミン,名詞,愚民
編輯,5,ヘンシュウ,名詞,編輯
伏せる,5,フセル,動詞,伏せる
にやけ,5,ニヤケ,動詞,にやける
おっきく,5,オッキク,形容詞,おっきい
はためく,5,ハタメク,動詞,はためく
踏切り,5,フミキリ,動詞,踏切る
ぬくぬく,5,ヌクヌク,副詞,ぬくぬく
不都合,5,フツゴウ,名詞,不都合
暗礁,5,アンショウ,名詞,暗礁
猛り,5,タケリ,動詞,猛る
美少年,5,ビショウネン,名詞,美少年
小路,5,コウジ,名詞,小路
気持ち良く,5,キモチヨク,形容詞,気持ち良い
耐え抜く,5,タエヌク,動詞,耐え抜く
ノブ,5,ノブ,名詞,ノブ
ちゃんちゃらおかし,5,チャンチャラオカシ,形容詞,ちゃんちゃらおかしい
狩人,5,カリュウド,名詞,狩人
わらい,5,ワライ,動詞,わらう
巡回,5,ジュンカイ,名詞,巡回
メッキ,5,メッキ,名詞,メッキ
織り成す,5,オリナス,動詞,織り成す
打ち上げる,5,ウチアゲル,動詞,打ち上げる
回想,5,カイソウ,名詞,回想
さびしさ,5,サビシサ,名詞,さびしさ
すれ違え,5,スレチガエ,動詞,すれ違う
陰っ,5,カゲッ,動詞,陰る
睨め,5,ネメ,動詞,睨める
ケース,5,ケース,名詞,ケース
肉眼,5,ニクガン,名詞,肉眼
トンボ,5,トンボ,名詞,トンボ
注入,5,チュウニュウ,名詞,注入
ふしぎ,5,フシギ,名詞,ふしぎ
おにぎり,5,オニギリ,名詞,おにぎり
落ちれ,5,オチレ,動詞,落ちる
わかす,5,ワカス,動詞,わかす
成層圏,5,セイソウケン,名詞,成層圏
くださっ,5,クダサッ,動詞,くださる
汚物,5,オブツ,名詞,汚物
あまく,5,アマク,形容詞,あまい
男児,5,ダンジ,名詞,男児
告げよ,5,ツゲヨ,動詞,告げる
たまたま,5,タマタマ,副詞,たまたま
せがむ,5,セガム,動詞,せがむ
号令,5,ゴウレイ,名詞,号令
手間,5,テマ,名詞,手間
用量,5,ヨウリョウ,名詞,用量
恨めしく,5,ウラメシク,形容詞,恨めしい
茶の間,5,チャノマ,名詞,茶の間
稀代,5,キタイ,名詞,稀代
てめぇ,5,テメェ,名詞,てめぇ
むしょうに,5,ムショウニ,副詞,むしょうに
まずまず,5,マズマズ,副詞,まずまず
しゃぼん,5,シャボン,名詞,しゃぼん
割り込ん,5,ワリコン,動詞,割り込む
支障,5,シショウ,名詞,支障
いの,5,イノ,動詞,いぬ
曇,5,クモリ,名詞,曇
頼ま,5,タノマ,動詞,頼む
ぬける,5,ヌケル,動詞,ぬける
象る,5,カタドル,動詞,象る
更紗,5,サラサ,名詞,更紗
起承転結,5,キショウテンケツ,名詞,起承転結
めざし,5,メザシ,動詞,めざす
累計,5,ルイケイ,名詞,累計
罪深い,5,ツミブカイ,形容詞,罪深い
かけれ,5,カケレ,動詞,かける
気狂い,5,キチガイ,名詞,気狂い
笑止千万,5,ショウシセンバン,名詞,笑止千万
シルク,5,シルク,名詞,シルク
相容れない,5,アイイレナイ,形容詞,相容れない
安楽,5,アンラク,名詞,安楽
感じよ,5,カンジヨ,動詞,感じる
自画,5,ジガ,名詞,自画
酔いしれる,5,ヨイシレル,動詞,酔いしれる
ガッカリ,5,ガッカリ,副詞,ガッカリ
しつこい,5,シツコイ,形容詞,しつこい
すり減らし,5,スリヘラシ,動詞,すり減らす
抑,5,ソモソモ,副詞,抑
冷却,5,レイキャク,名詞,冷却
射程,5,シャテイ,名詞,射程
駄々,5,ダダ,名詞,駄々
よーし,5,ヨーシ,感動詞,よーし
ギャル,5,ギャル,名詞,ギャル
極め,5,キワメ,動詞,極める
免許,5,メンキョ,名詞,免許
見出し,5,ミイダシ,動詞,見出す
働か,5,ハタラカ,動詞,働く
縦横無尽,5,ジュウオウムジン,名詞,縦横無尽
ねだる,5,ネダル,動詞,ねだる
訊け,5,キケ,動詞,訊く
燃えさかる,5,モエサカル,動詞,燃えさかる
裕,5,ヒロシ,名詞,裕
恨ま,5,ウラマ,動詞,恨む
淡き,5,アワキ,形容詞,淡い
ガチャガチャ,5,ガチャガチャ,名詞,ガチャガチャ
ストライク,5,ストライク,名詞,ストライク
空し,5,ムナシ,形容詞,空しい
吹き飛ん,5,フキトン,動詞,吹き飛ぶ
齧る,5,カジル,動詞,齧る
溺死,5,デキシ,名詞,溺死
週,5,シュウ,名詞,週
擦れ違う,5,スレチガウ,動詞,擦れ違う
投げやり,5,ナゲヤリ,名詞,投げやり
奮わ,5,フルワ,動詞,奮う
亡くし,5,ナクシ,動詞,亡くす
買お,5,カオ,動詞,買う
ネバネバ,4,ネバネバ,名詞,ネバネバ
わだかまり,4,ワダカマリ,動詞,わだかまる
哨戒,4,ショウカイ,名詞,哨戒
枕木,4,マクラギ,名詞,枕木
めばえ,4,メバエ,動詞,めばえる
醤,4,ヒシオ,名詞,醤
星辰,4,セイシン,名詞,星辰
心当たり,4,ココロアタリ,名詞,心当たり
好感,4,コウカン,名詞,好感
花粉,4,カフン,名詞,花粉
検知,4,ケンチ,名詞,検知
拓い,4,ヒライ,動詞,拓く
透視,4,トウシ,名詞,透視
凌げ,4,シノゲ,動詞,凌げる
聞える,4,キコエル,動詞,聞える
衛生,4,エイセイ,名詞,衛生
帰り際,4,カエリギワ,名詞,帰り際
団地,4,ダンチ,名詞,団地
ふむ,4,フム,動詞,ふむ
適用,4,テキヨウ,名詞,適用
得意気,4,トクイゲ,名詞,得意気
全霊,4,ゼンレイ,名詞,全霊
スパーク,4,スパーク,名詞,スパーク
促す,4,ウナガス,動詞,促す
止まろ,4,トマロ,動詞,止まる
つがい,4,ツガイ,名詞,つがい
あけれ,4,アケレ,動詞,あける
人恋しく,4,ヒトコイシク,形容詞,人恋しい
暗躍,4,アンヤク,名詞,暗躍
痛苦,4,ツウク,名詞,痛苦
やり遂げ,4,ヤリトゲ,動詞,やり遂げる
認知,4,ニンチ,名詞,認知
名乗る,4,ナノル,動詞,名乗る
駒鳥,4,コマドリ,名詞,駒鳥
かえす,4,カエス,動詞,かえす
漱石,4,ソウセキ,名詞,漱石
試合,4,シアイ,名詞,試合
色気,4,イロケ,名詞,色気
渾沌,4,コントン,名詞,渾沌
張りつめ,4,ハリツメ,動詞,張りつめる
縄張り,4,ナワバリ,名詞,縄張り
甘言,4,カンゲン,名詞,甘言
あたためる,4,アタタメル,動詞,あたためる
おっさん,4,オッサン,名詞,おっさん
賭し,4,トシ,動詞,賭す
あたえ,4,アタエ,動詞,あたえる
中継,4,チュウケイ,名詞,中継
くるまれ,4,クルマレ,動詞,くるまれる
眩しくっ,4,マブシクッ,形容詞,眩しい
リターン,4,リターン,名詞,リターン
太平洋,4,タイヘイヨウ,名詞,太平洋
思わせ振り,4,オモワセブリ,名詞,思わせ振り
宿屋,4,ヤドヤ,名詞,宿屋
屋形船,4,ヤカタブネ,名詞,屋形船
得意げ,4,トクイゲ,名詞,得意げ
末永い,4,スエナガイ,形容詞,末永い
和らぐ,4,ヤワラグ,動詞,和らぐ
ぽかぽか,4,ポカポカ,副詞,ぽかぽか
太刀打ち,4,タチウチ,名詞,太刀打ち
瞭然,4,リョウゼン,名詞,瞭然
宝庫,4,ホウコ,名詞,宝庫
導け,4,ミチビケ,動詞,導ける
十人十色,4,ジュウニントイロ,名詞,十人十色
太郎,4,タロウ,名詞,太郎
愛想尽かし,4,アイソヅカシ,名詞,愛想尽かし
麦わら,4,ムギワラ,名詞,麦わら
すりきれ,4,スリキレ,動詞,すりきれる
思慕,4,シボ,名詞,思慕
しろく,4,シロク,形容詞,しろい
見世物,4,ミセモノ,名詞,見世物
寝物語,4,ネモノガタリ,名詞,寝物語
まな板,4,マナイタ,名詞,まな板
餅,4,モチ,名詞,餅
教場,4,キョウジョウ,名詞,教場
ジョン,4,ジョン,名詞,ジョン
コノ,4,コノ,名詞,コノ
脚本,4,キャクホン,名詞,脚本
温厚,4,オンコウ,名詞,温厚
ウン,4,ウン,名詞,ウン
風流,4,フウリュウ,名詞,風流
食糧,4,ショクリョウ,名詞,食糧
上映,4,ジョウエイ,名詞,上映
塗,4,ヌリ,名詞,塗
澤,4,サワ,名詞,澤
なにげなく,4,ナニゲナク,形容詞,なにげない
廻す,4,マワス,動詞,廻す
パトロール,4,パトロール,名詞,パトロール
ナチュラル,4,ナチュラル,名詞,ナチュラル
いきる,4,イキル,動詞,いきる
ボンド,4,ボンド,名詞,ボンド
４つ,4,ヨッツ,名詞,４つ
面食らう,4,メンクラウ,動詞,面食らう
例えよ,4,タトエヨ,動詞,例える
歌曲,4,カキョク,名詞,歌曲
未踏,4,ミトウ,名詞,未踏
つなげる,4,ツナゲル,動詞,つなげる
点す,4,トモス,動詞,点す
揃わ,4,ソロワ,動詞,揃う
酒飲み,4,サケノミ,名詞,酒飲み
可笑し,4,オカシ,形容詞,可笑しい
朗々,4,ロウロウ,名詞,朗々
なんぼ,4,ナンボ,名詞,なんぼ
引き出す,4,ヒキダス,動詞,引き出す
整然,4,セイゼン,名詞,整然
相互,4,ソウゴ,名詞,相互
不眠,4,フミン,名詞,不眠
憎く,4,ニクク,形容詞,憎い
頼,4,ヨリユキ,名詞,頼
旬,4,シュン,名詞,旬
ささえ,4,ササエ,動詞,ささえる
岸,4,キシ,名詞,岸
掻き乱し,4,カキミダシ,動詞,掻き乱す
投稿,4,トウコウ,名詞,投稿
ぜひ,4,ゼヒ,副詞,ぜひ
扱っ,4,アツカッ,動詞,扱う
つきる,4,ツキル,動詞,つきる
猛者,4,モサ,名詞,猛者
誠に,4,マコトニ,副詞,誠に
たわけ,4,タワケ,動詞,たわける
かぶせ,4,カブセ,動詞,かぶせる
どろん,4,ドロン,名詞,どろん
電流,4,デンリュウ,名詞,電流
総立ち,4,ソウダチ,名詞,総立ち
グズグズ,4,グズグズ,副詞,グズグズ
札束,4,サツタバ,名詞,札束
からまる,4,カラマル,動詞,からまる
音響,4,オンキョウ,名詞,音響
語り合お,4,カタリアオ,動詞,語り合う
ほな,4,ホナ,接続詞,ほな
担え,4,ニナエ,動詞,担える
ザック,4,ザック,名詞,ザック
踏みにじら,4,フミニジラ,動詞,踏みにじる
なまぬるい,4,ナマヌルイ,形容詞,なまぬるい
むせかえる,4,ムセカエル,動詞,むせかえる
たどれる,4,タドレル,動詞,たどれる
綻ん,4,ホコロン,動詞,綻ぶ
情状,4,ジョウジョウ,名詞,情状
酌量,4,シャクリョウ,名詞,酌量
包み隠し,4,ツツミカクシ,動詞,包み隠す
報せ,4,シラセ,名詞,報せ
怖気,4,オジケ,名詞,怖気
めった,4,メッタ,名詞,めった
売女,4,バイタ,名詞,売女
すいこん,4,スイコン,動詞,すいこむ
発音,4,ハツオン,名詞,発音
コマ,4,コマ,名詞,コマ
かき分ける,4,カキワケル,動詞,かき分ける
手刀,4,テガタナ,名詞,手刀
日めくり,4,ヒメクリ,名詞,日めくり
切り込み,4,キリコミ,動詞,切り込む
つき合っ,4,ツキアッ,動詞,つき合う
光学,4,コウガク,名詞,光学
迷彩,4,メイサイ,名詞,迷彩
方位,4,ホウイ,名詞,方位
悪質,4,アクシツ,名詞,悪質
ラジカセ,4,ラジカセ,名詞,ラジカセ
満場一致,4,マンジョウイッチ,名詞,満場一致
達し,4,タッシ,動詞,達す
恐慌,4,キョウコウ,名詞,恐慌
行い,4,オコナイ,名詞,行い
うとめ,4,ウトメ,動詞,うとむ
降り出す,4,フリダス,動詞,降り出す
下書き,4,シタガキ,名詞,下書き
取り合え,4,トリアエ,動詞,取り合える
語りあっ,4,カタリアッ,動詞,語りあう
